gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	acceptedNameUsage	acceptedNameUsageID	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bed	behavior	catalogNumber	class	collectionCode	collectionID	continent	coordinatePrecision	coordinateUncertaintyInMeters	country	countryCode	county	dataGeneralizations	datasetID	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	disposition	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	family	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	formation	genus	geodeticDatum	geologicalContextID	georeferencedDate	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	group	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	individualCount	individualID	informationWithheld	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	materialSampleID	maximumDepthInMeters	maximumDistanceAboveSurfaceInMeters	maximumElevationInMeters	member	minimumDepthInMeters	minimumDistanceAboveSurfaceInMeters	minimumElevationInMeters	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceDetails	occurrenceID	occurrenceRemarks	occurrenceStatus	order	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentNameUsage	parentNameUsageID	phylum	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	reproductiveCondition	samplingEffort	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	startDayOfYear	stateProvince	subgenus	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	typeStatus	verbatimCoordinateSystem	verbatimCoordinates	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimLatitude	verbatimLocality	verbatimLongitude	verbatimSRS	verbatimTaxonRank	vernacularName	waterBody	year
1019856559									Phyllogonium fulgens var. viride (UBC B8296)																	35431									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=296413&ass_num=B8296				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B8296		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1939-11-10											Phyllogonium										on tree										S.H. Lin 1981				viride	University of British Columbia				Plantae								guavate purchase unit, sierra de cayey																				ICBN			35431							University of British Columbia					dried		4827	W.C. Steere				Phyllogonium fulgens var. viride				fulgens						varietas								1939 Nov 10	?n		?w					
1019857702									Trichocolea tomentosa (UBC B26473)																	37964									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298946&ass_num=B26473				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26473		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-02-24											Trichocolea										on tree fern trunk														tomentosa	University of British Columbia				Plantae								caribbean national forest, luquillo division, along trail up mt.britton,tropical rainforest																				ICBN			37964							University of British Columbia					dried		3509	Willaim R. Buck				Trichocolea tomentosa				tomentosa						species							941m	1981 Feb 24	?n		?w					
1019857717									Leucoloma serrulatum (UBC B26478)																	37969									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298951&ass_num=B26478				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26478		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-02-24											Leucoloma										tropical rainforest														serrulatum	University of British Columbia				Plantae								caribbean national forest, luquillo division, along trail up mt.britton																				ICBN			37969							University of British Columbia					dried		3519	Willaim R. Buck				Leucoloma serrulatum				serrulatum						species							941m	1981 Feb 24	?n		?w					
1019857715									Meteoriopsis patula (UBC B26475)																	37966									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298948&ass_num=B26475				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26475		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-02-25											Meteoriopsis										moist tropicl forest below, mossy elfin forest near summit														patula	University of British Columbia				Plantae								caribbean national forest, luquillo division, along trail from road 186 to top of el toro, trail begins 5.4 mi s of el verde biol.station																				ICBN			37966							University of British Columbia					dried		3608	Willaim R. Buck				Meteoriopsis patula (Hedw.) Broth.	(Hedw.) Broth.			patula						species							1074m	1981 Feb 25	?n		?w					
1019857443									Leucobryum martianum (UBC B26129)																	37724									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298706&ass_num=B26129				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26129		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-02-24											Leucobryum										tropical rainforest														martianum	University of British Columbia				Plantae								caribbean national forest,luquillo division,along trail up mt.britton																				ICBN			37724							University of British Columbia					dried		3530	William R. Buck				Leucobryum martianum				martianum						species							941 m	1981 Feb 24	?n		?w					
1019857451									Philonotis sphaerocarpa (UBC B26139)																	37734									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298716&ass_num=B26139				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26139		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-03-05											Philonotis										on clay bank, moist forest														sphaerocarpa	University of British Columbia				Plantae								caribbean national forest,luquillo division,el yunque recreation area,along hwy 930(molindero road) at base of pico de este																				ICBN			37734							University of British Columbia					dried		4107	William R. Buck				Philonotis sphaerocarpa (Hedw.) Brid.	(Hedw.) Brid.			sphaerocarpa						species							700m	1981 Mar 05	?n		?w					
1019857440									Pilotrichidium callicostatum (UBC B26125)																	37720									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298702&ass_num=B26125				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26125		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-02-23-24											Pilotrichidium										rainforest														callicostatum	University of British Columbia				Plantae								caribbean national forest,luquillo division,elverde, vicinity of el verde biological station																				ICBN			37720							University of British Columbia					dried		3462	William R. Buck				Pilotrichidium callicostatum				callicostatum						species								1981 Feb 23 24	?n		?w					
1019857456									Leucoloma serrulatum (UBC B26134)																	37729									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298711&ass_num=B26134				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26134		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-03-04											Leucoloma										cloud forest and bare,exposed rock peaks; on branch over stream														serrulatum	University of British Columbia				Plantae								caribbean nat.forest;luquillo division,el yunque recreation area,trail from mt.britton to summit of el yunque																				ICBN			37729							University of British Columbia					dried		4059	William R. Buck				Leucoloma serrulatum				serrulatum						species							941m - 1065m	1981 Mar 04	?n		?w					
1019857464									Syrrhopodon rigidus (UBC B26130)																	37725									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298707&ass_num=B26130				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26130		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-02-25											Syrrhopodon										moist forest below,mossy elfin forest near summit														rigidus	University of British Columbia				Plantae								caribbean national forest,luquillo division, along trail from hwy 186 to top of el toro,trail begins 5.4mi s of el verde biol.station																				ICBN			37725							University of British Columbia					dried		14381	William D. Reese				Syrrhopodon rigidus				rigidus						species							to 1074m	1981 Feb 25	?n		?w					
1019857457									Meteoriopsis remotifolia (UBC B26131)																	37726									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298708&ass_num=B26131				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26131		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-02-25											Meteoriopsis										moist forest below,mossy elfin forest near summit														remotifolia	University of British Columbia				Plantae								caribbean national forest,luquillo division, along trail from hwy 186 to top of el toro,trail begins 5.4mi s of el verde biol.station																				ICBN			37726							University of British Columbia					dried		14378	William D. Reese				Meteoriopsis remotifolia				remotifolia						species							to 1074m	1981 Feb 25	?n		?w					
1019857474									Philonotis uncinata (UBC B26145)																	37740									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298722&ass_num=B26145				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26145		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-03-01											Philonotis																								uncinata	University of British Columbia				Plantae								cordillera central, along hwy 105, 4.7 mi wnw of intersection with hwys 128 & 365, 6.5 mi e of maricao																				ICBN			37740							University of British Columbia					dried		14597	William D. Reese				Philonotis uncinata (Schwaegr.) Brid.	(Schwaegr.) Brid.			uncinata						species								1981 Mar 01	?n		?w					
1019857452									Leucoloma schwaneckeanum (UBC B26126)																	37721									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298703&ass_num=B26126				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26126		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-02-23-24											Leucoloma										rainforest														schwaneckeanum	University of British Columbia				Plantae								caribbean national forest,luquillo division,elverde, vicinity of el verde biological station																				ICBN			37721							University of British Columbia					dried		3479	William R. Buck				Leucoloma schwaneckeanum				schwaneckeanum						species								1981 Feb 23 24	?n		?w					
1019857473									Hemiragis aurea (UBC B26137)																	37732									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298714&ass_num=B26137				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26137		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-03-05											Hemiragis										roadside and cloud forest														aurea	University of British Columbia				Plantae								caribbean national forest,luquillo division,summit and upper slopes of pico de este																				ICBN			37732							University of British Columbia					dried		4130	William R. Buck				Hemiragis aurea				aurea						species							1051m	1981 Mar 05	?n		?w					
1019857460									Leucobryum giganteum (UBC B26146)																	37741									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298723&ass_num=B26146				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26146		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-03-01											Leucobryum										moist serpentine outcrop														giganteum	University of British Columbia				Plantae								cordillera central,reserva forestal maricao,trail leading from hwy 120 at km 14 to river below																				ICBN			37741							University of British Columbia					dried		3872	William R. Buck				Leucobryum giganteum				giganteum						species								1981 Mar 01	?n		?w					
1019857470									Rhamphidium dicranoides (UBC B26148)																	37743									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298725&ass_num=B26148				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26148		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-03-01											Rhamphidium										moist serpentine outcrop														dicranoides	University of British Columbia				Plantae								cordillera central, reserva forestal maricao,trail leading from hwy 120 at km 14 to river below																				ICBN			37743							University of British Columbia					dried		3885	William R. Buck				Rhamphidium dicranoides				dicranoides						species								1981 Mar 01	?n		?w					
1019857478									Philonotis elongata (UBC B26140)																	37735									en				2014-05-15			http://bridge.botany.ubc.ca/herbarium/details.php?db=Bryophytes.fmp12&layout=Bryophytes_web_details&recid=298717&ass_num=B26140				http://www.canadensys. net/norms	University of British Columbia							PhysicalObject									PreservedSpecimen			B26140		UBC	urn:lsid:biocol.org:col:15106				Puerto Rico				http://dataset.canadensys.net/ubc-bryophyte-specimens	University of British Columbia Herbarium (UBC) - Bryophytes Collection														1981-03-06											Philonotis										moist forest along stream														elongata	University of British Columbia				Plantae								caribbean national forest,luquillo division, along hwy 988, 0.7 mi se of intersection with hwy 191																				ICBN			37735							University of British Columbia					dried		4167	William R. Buck				Philonotis elongata				elongata						species							150-200m	1981 Mar 06	?n		?w					
